"","lane","tile","code","value"
"1005",1,1208,200,0.00103796017356217
"437",1,1209,200,0
"691",1,1209,200,0.000987179228104651
"1012",1,1209,200,0.000987179228104651
"433",1,1210,200,0
"693",1,1210,200,0.000992673565633595
"1017",1,1210,200,0.000992673565633595
"435",1,1211,200,0
"699",1,1211,200,0.000948701926972717
"1024",1,1211,200,0.000948701926972717
"447",1,1212,200,0
"695",1,1212,200,0.00102728174533695
"1028",1,1212,200,0.00102728174533695
"443",1,1213,200,0
"697",1,1213,200,0.00107986282091588
"1030",1,1213,200,0.00107986282091588
"441",1,1214,200,0
"701",1,1214,200,0.00134965358301997
"1039",1,1214,200,0.00134965358301997
"439",1,1215,200,0
"703",1,1215,200,0.00125351257156581
"1041",1,1215,200,0.00125351257156581
"445",1,1216,200,0
"705",1,1216,200,0.00128778454381973
"1047",1,1216,200,0.00128778454381973
"515",1,2101,200,0
"775",1,2101,200,0.00103375606704503
"1052",1,2101,200,0.00103375606704503
"519",1,2102,200,0
"771",1,2102,200,0.00115017814096063
"1057",1,2102,200,0.00115017814096063
"513",1,2103,200,0
"785",1,2103,200,0.00126955017913133
"1063",1,2103,200,0.00126955017913133
"525",1,2104,200,0
"783",1,2104,200,0.00112778483889997
"1068",1,2104,200,0.00112778483889997
"521",1,2105,200,0
"773",1,2105,200,0.000955066061578691
"1070",1,2105,200,0.000955066061578691
"527",1,2106,200,0
"779",1,2106,200,0.0014018026413396
"1078",1,2106,200,0.0014018026413396
"517",1,2107,200,0
"777",1,2107,200,0.000955421361140907
"1080",1,2107,200,0.000955421361140907
"523",1,2108,200,0
"781",1,2108,200,0.0012131609255448
"1087",1,2108,200,0.0012131609255448
"529",1,2109,200,0
"787",1,2109,200,0.00115881115198135
"1092",1,2109,200,0.00115881115198135
"531",1,2110,200,0
"789",1,2110,200,0.00104471959639341
"1097",1,2110,200,0.00104471959639341
"537",1,2111,200,0
"791",1,2111,200,0.00113904010504484
"1103",1,2111,200,0.00113904010504484
"535",1,2112,200,0
"793",1,2112,200,0.00103759043850005
"1108",1,2112,200,0.00103759043850005
"533",1,2113,200,0
"795",1,2113,200,0.00118578935507685
"1110",1,2113,200,0.00118578935507685
"541",1,2114,200,0
"799",1,2114,200,0.00113511073868722
"1118",1,2114,200,0.00113511073868722
"539",1,2115,200,0
"797",1,2115,200,0.0010302901500836
"1120",1,2115,200,0.0010302901500836
"543",1,2116,200,0
"801",1,2116,200,0.00126437190920115
"1127",1,2116,200,0.00126437190920115
"553",1,2201,200,0
"805",1,2201,200,0.00124426779802889
"1132",1,2201,200,0.00124426779802889
"545",1,2202,200,0
"803",1,2202,200,0.0011534906225279
"1137",1,2202,200,0.0011534906225279
"551",1,2203,200,0
"807",1,2203,200,0.00115946086589247
"1142",1,2203,200,0.00115946086589247
"549",1,2204,200,0
"809",1,2204,200,0.00122775894124061
"1148",1,2204,200,0.00122775894124061
"547",1,2205,200,0
"811",1,2205,200,0.00103352405130863
"1152",1,2205,200,0.00103352405130863
"557",1,2206,200,0
"815",1,2206,200,0.00103433628100902
"1159",1,2206,200,0.00103433628100902
"555",1,2207,200,0
"817",1,2207,200,0.00111728080082685
"1163",1,2207,200,0.00111728080082685
"559",1,2208,200,0
"813",1,2208,200,0.00107440142892301
"1172",1,2208,200,0.00107440142892301
"561",1,2209,200,0
"819",1,2209,200,0.000927782384678721
"1165",1,2209,200,0.000927782384678721
"563",1,2210,200,0
"823",1,2210,200,0.000967106723692268
"1177",1,2210,200,0.000967106723692268
