,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
168,1,2108,3,0.018009905,11054,51,0,0,0
169,1,2109,3,0.071237758,11171,59,0,0,0
170,1,2110,3,0.063239679,10999,70,0,0,0
171,1,2111,3,0.071486019,11141,52,0,0,0
172,1,2112,3,0.080768198,11073,71,0,0,0
173,1,2113,3,0.062830985,11071,72,0,0,0
174,1,2114,3,0.053552303,11145,59,0,0,0
175,1,2115,3,0.134977058,11044,71,0,0,0
176,1,2116,3,0.105097212,11357,61,0,0,0
177,1,2201,3,0.084175088,10641,51,0,0,0
178,1,2202,3,0.06503763,10706,57,0,0,0
179,1,2203,3,0.111607142,10696,57,0,0,0
180,1,2204,3,0.100649647,10863,67,0,0,0
181,1,2205,3,0.054869685,10882,55,0,0,0
182,1,2206,3,0.05380201,11084,68,0,0,0
183,1,2207,3,0.088817835,11208,51,0,0,0
184,1,2208,3,0.078747049,11368,62,0,0,0
185,1,2209,3,0.053281236,11205,57,0,0,0
186,1,2210,3,0.105503783,11311,65,0,0,0
187,1,2211,3,0.044984255,11065,50,0,0,0
188,1,2212,3,0.086820632,11451,68,0,0,0
189,1,2213,3,0.141255409,11252,75,0,0,0
190,1,2214,3,0.087320991,11379,75,0,0,0
191,1,2215,3,0.061360449,11335,73,0,0,0
192,1,2216,3,0.008520065,11681,56,0,0,0
193,1,1101,4,0.00952381,10442,58,0,0,0
194,1,1102,4,0.087446563,10235,57,0,0,0
195,1,1103,4,0.067744121,10274,59,0,0,0
196,1,1104,4,0.102420859,10679,61,0,0,0
197,1,1105,4,0.018795226,10583,58,0,0,0
198,1,1106,4,0.055720653,10714,54,0,0,0
199,1,1107,4,0.065666042,10609,51,0,0,0
200,1,1108,4,0.06377551,10906,71,0,0,0
201,1,1109,4,0.037126414,10722,52,0,0,0
202,1,1110,4,0.055376098,10767,68,0,0,0
203,1,1111,4,0.054058924,11045,54,0,0,0
204,1,1112,4,0.101691782,10746,71,0,0,0
205,1,1113,4,0.084167212,10625,68,0,0,0
206,1,1114,4,0.028656032,10408,62,0,0,0
207,1,1115,4,0.075301208,10557,68,0,0,0
208,1,1116,4,0.046834022,10625,53,0,0,0
209,1,1201,4,0.01907305,10434,52,0,0,0
210,1,1202,4,0.037939865,10477,66,0,0,0
211,1,1203,4,0.056438718,10576,56,0,0,0
212,1,1204,4,0.06615632,10516,65,0,0,0
213,1,1205,4,0.056295741,10600,58,0,0,0
214,1,1206,4,0.009443763,10360,230,0,0,0
215,1,1207,4,0.082515813,10838,70,0,0,0
216,1,1208,4,0.08227443,10881,58,0,0,0
217,1,1209,4,0.054565296,10934,63,0,0,0
218,1,1210,4,0.046425257,10720,52,0,0,0
219,1,1211,4,0.063331224,10983,70,0,0,0
220,1,1212,4,0.04621499,10747,73,0,0,0
221,1,1213,4,0.056279898,10589,74,0,0,0
222,1,1214,4,0.027713627,10752,74,0,0,0
223,1,1215,4,0.110344827,10803,72,0,0,0
224,1,1216,4,0.07101012,11197,69,0,0,0
225,1,2101,4,0.037900321,10497,57,0,0,0
226,1,2102,4,0.065451145,10641,54,0,0,0
227,1,2103,4,0.073971339,10753,63,0,0,0
228,1,2104,4,0.055268977,10802,54,0,0,0
229,1,2105,4,0.037654147,10575,48,0,0,0
230,1,2106,4,0.046176579,10758,72,0,0,0
231,1,2107,4,0.035826243,11115,50,0,0,0
232,1,2108,4,0.045024764,11049,56,0,0,0
233,1,2109,4,0.035618879,11167,63,0,0,0
