"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"64",1,1105,6,0.06578329205513,10566,75,0,0,0
"133",1,1106,6,0.120728082954884,10691,77,0,0,0
"124",1,1107,6,0.112570352852345,10591,69,0,0,0
"143",1,1108,6,0.0911078751087189,10891,86,0,0,0
"206",1,1109,6,0.0835344344377518,10706,68,0,0,0
"231",1,1110,6,0.092293493449688,10753,82,0,0,0
"256",1,1111,6,0.099108025431633,11030,69,0,0,0
"272",1,1112,6,0.0924470722675323,10727,90,0,0,0
"273",1,1113,6,0.0748153030872345,10609,84,0,0,0
"346",1,1114,6,0.114624127745628,10389,81,0,0,0
"324",1,1115,6,0.112951807677746,10539,86,0,0,0
"357",1,1116,6,0.084301233291626,10607,71,0,0,0
"406",1,1201,6,0.0667556747794151,10424,62,0,0,0
"431",1,1202,6,0.0853646993637085,10458,85,0,0,0
"456",1,1203,6,0.112877435982227,10558,74,0,0,0
"476",1,1204,6,0.113410830497742,10500,81,0,0,0
"493",1,1205,6,0.0844436138868332,10582,76,0,0,0
"532",1,1206,6,0.0661063343286514,10346,244,0,0,0
"541",1,1207,6,0.0916842371225357,10817,91,0,0,0
"572",1,1208,6,0.082274429500103,10866,73,0,0,0
"606",1,1209,6,0.118224807083607,10911,86,0,0,0
"631",1,1210,6,0.0742804110050201,10705,67,0,0,0
"656",1,1211,6,0.0452365875244141,10972,81,0,0,0
"681",1,1212,6,0.0647009909152985,10732,88,0,0,0
"692",1,1213,6,0.0750398635864258,10569,94,0,0,0
"735",1,1214,6,0.166281759738922,10728,98,0,0,0
"738",1,1215,6,0.0919540226459503,10789,86,0,0,0
"781",1,1216,6,0.0621338523924351,11182,84,0,0,0
"806",1,2101,6,0.08527572453022,10481,73,0,0,0
"831",1,2102,6,0.130902290344238,10620,75,0,0,0
"856",1,2103,6,0.0924641713500023,10736,80,0,0,0
"881",1,2104,6,0.0644804686307907,10788,68,0,0,0
"897",1,2105,6,0.0753082931041718,10560,63,0,0,0
"936",1,2106,6,0.230925545096397,10726,104,0,0,0
"937",1,2107,6,0.0895816534757614,11091,74,0,0,0
"981",1,2108,6,0.0540345832705498,11038,67,0,0,0
"1006",1,2109,6,0.0979606360197067,11148,82,0,0,0
"1031",1,2110,6,0.0542054399847984,10977,92,0,0,0
"1056",1,2111,6,0.0625558570027351,11121,72,0,0,0
"1081",1,2112,6,0.143613681197166,11042,102,0,0,0
"1097",1,2113,6,0.0628422647714615,11043,100,0,0,0
"1131",1,2114,6,0.080328457057476,11111,93,0,0,0
"1143",1,2115,6,0.0810153931379318,11025,90,0,0,0
"1206",1,2116,6,0.113875262439251,11324,94,0,0,0
"1169",1,2201,6,0.102880656719208,10620,72,0,0,0
"1231",1,2202,6,0.0464554503560066,10695,68,0,0,0
"1256",1,2203,6,0.0930059552192688,10672,81,0,0,0
"1281",1,2204,6,0.0731997415423393,10841,89,0,0,0
"1306",1,2205,6,0.0914494767785072,10861,76,0,0,0
"1331",1,2206,6,2.38522243499756,10799,353,0,0,0
"1350",1,2207,6,0.0710542649030685,11186,73,0,0,0
"1406",1,2208,6,0.104996062815189,11346,84,0,0,0
"1374",1,2209,6,0.0888020619750023,11186,76,0,0,0
